省,省确诊,省治愈,省死亡,市,新增确诊,新增治愈,新增死亡,确诊,治愈,死亡,日期
四川省,15,0,0,成都,7,0,0,7,0,0,2020-01-23
四川省,15,0,0,广安,2,0,0,2,0,0,2020-01-23
四川省,15,0,0,绵阳,2,0,0,2,0,0,2020-01-23
四川省,15,0,0,达州,1,0,0,1,0,0,2020-01-23
四川省,15,0,0,遂宁,1,0,0,1,0,0,2020-01-23
四川省,15,0,0,德阳,1,0,0,1,0,0,2020-01-23
四川省,15,0,0,雅安,1,0,0,1,0,0,2020-01-23
山西省,1,0,0,太原,1,0,0,1,0,0,2020-01-23
湖南省,24,0,0,长沙,8,0,0,8,0,0,2020-01-23
湖南省,24,0,0,怀化,3,0,0,3,0,0,2020-01-23
湖南省,24,0,0,永州,4,0,0,4,0,0,2020-01-23
湖南省,24,0,0,郴州,1,0,0,1,0,0,2020-01-23
湖南省,24,0,0,株洲,1,0,0,1,0,0,2020-01-23
湖南省,24,0,0,岳阳,3,0,0,3,0,0,2020-01-23
湖南省,24,0,0,湘潭,1,0,0,1,0,0,2020-01-23
湖南省,24,0,0,娄底,3,0,0,3,0,0,2020-01-23
山东省,15,0,0,青岛,4,0,0,4,0,0,2020-01-23
山东省,15,0,0,威海,2,0,0,2,0,0,2020-01-23
山东省,15,0,0,临沂,2,0,0,2,0,0,2020-01-23
山东省,15,0,0,潍坊,1,0,0,1,0,0,2020-01-23
山东省,15,0,0,日照,1,0,0,1,0,0,2020-01-23
山东省,15,0,0,济南,2,0,0,2,0,0,2020-01-23
山东省,15,0,0,烟台,2,0,0,2,0,0,2020-01-23
山东省,15,0,0,济宁,1,0,0,1,0,0,2020-01-23
湖北省,549,31,24,武汉,495,31,23,495,31,23,2020-01-23
湖北省,549,31,24,孝感,22,0,0,22,0,0,2020-01-23
湖北省,549,31,24,黄冈,12,0,0,12,0,0,2020-01-23
湖北省,549,31,24,荆州,8,0,0,8,0,0,2020-01-23
湖北省,549,31,24,荆门,8,0,0,8,0,0,2020-01-23
湖北省,549,31,24,仙桃,2,0,0,2,0,0,2020-01-23
湖北省,549,31,24,宜昌,1,0,1,1,0,1,2020-01-23
湖北省,549,31,24,十堰,1,0,0,1,0,0,2020-01-23
北京市,34,1,0,昌平,3,0,0,3,0,0,2020-01-23
北京市,34,1,0,大兴,2,1,0,2,1,0,2020-01-23
北京市,34,1,0,丰台,2,0,0,2,0,0,2020-01-23
北京市,34,1,0,海淀,4,0,0,4,0,0,2020-01-23
北京市,34,1,0,通州,2,0,0,2,0,0,2020-01-23
北京市,34,1,0,外地来京人员,10,0,0,10,0,0,2020-01-23
北京市,34,1,0,西城,4,0,0,4,0,0,2020-01-23
北京市,34,1,0,朝阳,5,0,0,5,0,0,2020-01-23
北京市,34,1,0,石景山,1,0,0,1,0,0,2020-01-23
北京市,34,1,0,顺义,1,0,0,1,0,0,2020-01-23
广东省,53,2,0,佛山,7,0,0,7,0,0,2020-01-23
广东省,53,2,0,广州,7,0,0,7,0,0,2020-01-23
广东省,53,2,0,惠州,5,0,0,5,0,0,2020-01-23
广东省,53,2,0,韶关,3,0,0,3,0,0,2020-01-23
广东省,53,2,0,深圳,15,2,0,15,2,0,2020-01-23
广东省,53,2,0,湛江,2,0,0,2,0,0,2020-01-23
广东省,53,2,0,珠海,8,0,0,8,0,0,2020-01-23
广东省,53,2,0,中山,2,0,0,2,0,0,2020-01-23
广东省,53,2,0,阳江,3,0,0,3,0,0,2020-01-23
广东省,53,2,0,肇庆,1,0,0,1,0,0,2020-01-23
广东省,53,2,0,清远,1,0,0,1,0,0,2020-01-23
贵州省,3,0,0,贵阳,1,0,0,1,0,0,2020-01-23
贵州省,3,0,0,铜仁,1,0,0,1,0,0,2020-01-23
贵州省,3,0,0,黔南州,1,0,0,1,0,0,2020-01-23
江苏省,9,0,0,苏州,2,0,0,2,0,0,2020-01-23
江苏省,9,0,0,南京,3,0,0,3,0,0,2020-01-23
江苏省,9,0,0,连云港,1,0,0,1,0,0,2020-01-23
江苏省,9,0,0,扬州,1,0,0,1,0,0,2020-01-23
江苏省,9,0,0,南通,1,0,0,1,0,0,2020-01-23
